,Gender,Age,Annual Income (k$),Spending Score (1-100),Income Cluster,Spending and Income Cluster
136,1,44,73,7,0,2
137,0,32,73,73,0,1
138,0,19,74,10,0,2
139,1,35,74,72,0,1
140,1,57,75,5,0,2
141,0,32,75,93,0,1
142,1,28,76,40,0,0
143,1,32,76,87,0,1
144,0,25,77,12,0,2
145,0,28,77,97,0,1
146,0,48,77,36,0,2
147,1,32,77,74,0,1
148,1,34,78,22,0,2
149,0,34,78,90,0,1
150,0,43,78,17,0,2
151,0,39,78,88,0,1
152,1,44,78,20,0,2
153,1,38,78,76,0,1
154,1,47,78,16,0,2
155,1,27,78,89,0,1
156,0,37,78,1,0,2
157,1,30,78,78,0,1
158,0,34,78,1,0,2
159,1,30,78,73,0,1
160,1,56,79,35,0,2
161,1,29,79,83,0,1
162,0,19,81,5,0,2
163,1,31,81,93,0,1
164,0,50,85,26,1,2
165,1,36,85,75,1,1
166,0,42,86,20,1,2
167,1,33,86,95,1,1
168,1,36,87,27,1,2
169,0,32,87,63,1,1
170,0,40,87,13,1,2
171,0,28,87,75,1,1
172,0,36,87,10,1,2
173,0,36,87,92,1,1
174,1,52,88,13,1,2
175,1,30,88,86,1,1
176,0,58,88,15,1,2
177,0,27,88,69,1,1
178,0,59,93,14,1,2
179,0,35,93,90,1,1
180,1,37,97,32,1,2
181,1,32,97,86,1,1
182,0,46,98,15,1,2
183,1,29,98,88,1,1
184,1,41,99,39,1,2
185,0,30,99,97,1,1
186,1,54,101,24,1,2
187,0,28,101,68,1,1
188,1,41,103,17,1,2
189,1,36,103,85,1,1
190,1,34,103,23,1,2
191,1,32,103,69,1,1
192,0,33,113,8,1,2
193,1,38,113,91,1,1
194,1,47,120,16,1,2
195,1,35,120,79,1,1
196,1,45,126,28,1,2
197,0,32,126,74,1,1
198,0,32,137,18,1,2
199,0,30,137,83,1,1
